step,epoch_frac,lr,train_loss,val_loss,tokens_seen,tok_per_sec,elapsed_s
1,0.020480,3.000000e-04,10.878128,,4096,2244,1.8
5,0.102400,2.972948e-04,9.609596,,20480,5972,4.6
10,0.204800,2.811542e-04,9.572647,,40960,5710,8.2
15,0.307200,2.521598e-04,8.630230,,61440,5815,11.7
20,0.409600,2.135200e-04,8.287806,,81920,4914,15.8
25,0.512000,1.695110e-04,7.974926,,102400,5945,19.3
30,0.614400,1.250028e-04,7.566559,,122880,5457,23.0
35,0.716800,8.492073e-05,7.848930,,143360,6149,26.4
40,0.819200,5.370039e-05,7.766661,,163840,6388,29.6
45,0.921600,3.479666e-05,7.726583,,184320,6676,32.6
